"VerejnyIdentifikatorZakazky","DatumPredlozeniaPonuky","Dodavatel_ICO","Dodavatel_ObchodnyNazov","Dodavatel_StatSidla","PredlozenaCenaBezDPH","SadzbaDPH","PredlozenaCenaSDPH","VyslednePoradie","StavKontraktacnejPonuky",
"Z20244167","8/2/2024 4:18:57 PM","35705795","GE HealthCare Slovensko, s.r.o.","Slovenská republika","220333.920","20.000","264400.700","1","platná",
"Z20245486","8/5/2024 8:10:55 AM","54527538","Elekta s. r. o.","Slovenská republika","219910.000","20.000","263892.000","1","platná",
"Z20245871","8/2/2024 2:09:04 PM","51312832","abaWood, s.r.o.","Slovenská republika","10000.000","20.000","12000.000","1","platná",
"Z20245887","8/1/2024 10:20:27 AM","35815256","Slovenský plynárenský priemysel, a.s.","Slovenská republika","66726.340","20.000","80071.610","4","platná",
"Z20245887","8/1/2024 10:46:40 AM","46113177","Energie2, a.s.","Slovenská republika","66725.620","20.000","80070.740","3","platná",
"Z20245887","8/1/2024 9:37:13 AM","36677281","ZSE Energia, a.s.","Slovenská republika","66717.100","20.000","80060.520","2","platná",
"Z20245887","8/1/2024 9:45:04 AM","50060872","MVM CEEnergy Slovakia s.r.o.","Slovenská republika","64659.760","20.000","77591.710","1","platná",
"Z20245950","8/2/2024 2:59:57 PM","34152199","Bidfood Slovakia s. r. o.","Slovenská republika","62619.030","","74923.150","1","platná",
"Z20245950","8/2/2024 4:52:50 PM","36473219","CIMBAĽÁK s.r.o.","Slovenská republika","62620.000","","72013.000","2","platná",
"Z20245956","8/5/2024 11:50:17 AM","31645704","CBA VEREX, a.s.","Slovenská republika","33830.590","","40533.720","1","platná",
"Z20245960","8/6/2024 9:39:33 AM","31645704","CBA VEREX, a.s.","Slovenská republika","55314.300","","65852.910","1","platná",
"Z20245984","8/7/2024 10:10:14 AM","50367447","František Nemec STAVREM s.r.o.","Slovenská republika","4435.200","20.000","5322.240","2","platná",
"Z20245984","8/8/2024 9:12:01 AM","35787473","JUTEX - Contract, s.r.o. ","Slovenská republika","4430.000","20.000","5316.000","1","platná",
"Z20246025","8/2/2024 7:57:52 AM","30222575","APIS spol. s r.o.","Slovenská republika","410.000","20.000","492.000","1","platná",
"Z20246041","8/5/2024 1:11:56 PM","31659551","COMMERC SERVICE spol. s r.o.","Slovenská republika","198.910","20.000","238.690","1","platná",
"Z20246041","8/8/2024 9:39:03 AM","50687115","HENRYSO, s.r.o.","Slovenská republika","198.920","20.000","238.700","2","platná",
"Z20246077","8/1/2024 10:54:49 AM","50282026","Woodensky SK,s.r.o","Slovenská republika","12499.000","20.000","14998.800","2","platná",
"Z20246077","8/1/2024 4:12:48 PM","35832274","BATTEX Slovakia, s.r.o.","Slovenská republika","12633.500","20.000","15160.200","3","platná",
"Z20246077","8/1/2024 8:51:41 PM","11984112","Ing. Róbert Pecho P.E.MAX","Slovenská republika","11900.000","20.000","14280.000","1","platná",
"Z20246103","8/1/2024 9:45:50 AM","36029203","SAFETRONICS a.s.","Slovenská republika","1300.000","20.000","1560.000","1","platná",
"Z20246111","8/1/2024 9:26:28 PM","36428353","Železiarstvo HAMMER, s.r.o.","Slovenská republika","4874.500","20.000","5849.400","5","platná",
"Z20246111","8/1/2024 10:35:28 PM","32529597","Štefan Nagy - FAN – AUTO","Slovenská republika","4839.980","20.000","5807.980","2","platná",
"Z20246111","8/2/2024 2:33:13 AM","52700763","RAMOTECH s. r. o.","Slovenská republika","4790.000","20.000","5748.000","1","platná",
"Z20246120","8/5/2024 7:30:36 AM","34113924","MED - ART, spol. s r.o.","Slovenská republika","34716.080","10.000","38187.690","1","platná",
"Z20246121","8/5/2024 7:17:24 AM","31625657","UNIPHARMA - 1.slovenská lekárnická akciová spoločnosť","Slovenská republika","3718.470","10.000","4090.320","2","platná",
"Z20246121","8/5/2024 7:32:43 AM","34113924","MED - ART, spol. s r.o.","Slovenská republika","3718.460","10.000","4090.310","1","platná",
"Z20246131","8/4/2024 4:43:00 PM","44137761","EUROGASTROP s.r.o.","Slovenská republika","29990.000","20.000","35988.000","4","platná",
"Z20246131","8/4/2024 9:57:20 PM","44602731","Elektroservis VV, s.r.o.","Slovenská republika","29983.000","20.000","35979.600","3","platná",
"Z20246162","8/6/2024 9:17:54 AM","36880574","Ing. Peter Gerši - GC Tech.","Slovenská republika","950.800","20.000","1140.960","2","platná",
"Z20246162","8/6/2024 9:29:50 AM","32627211","Tibor Varga TSV PAPIER","Slovenská republika","950.700","20.000","1140.840","1","platná",
"Z20246188","8/7/2024 10:41:30 AM","31344194","JURIGA spol. s r. o.","Slovenská republika","15199.990","20.000","18239.990","7","platná",
"Z20246188","8/7/2024 1:36:47 PM","53706587","LIsyst s.r.o.","Slovenská republika","15199.950","20.000","18239.940","6","platná",
"Z20246188","8/1/2024 1:36:36 PM","53294912","Tom Tech SK s. r. o.","Slovenská republika","14990.000","20.000","17988.000","1","platná",
"Z20246191","8/5/2024 8:02:39 AM","43959954","KORAKO, s. r. o.","Slovenská republika","4766.660","20.000","5719.990","8","platná",
"Z20246191","8/5/2024 8:27:19 AM","43812481","TURON GASTRO s.r.o.","Slovenská republika","4750.100","20.000","5700.120","3","platná",
"Z20246191","8/5/2024 8:27:54 AM","36372871","CARTA Slovakia, s.r.o.","Slovenská republika","4765.830","20.000","5719.000","6","platná",
"Z20246191","8/4/2024 8:42:29 PM","33768897","PhDr. Gabriela Spišáková - Majster Papier","Slovenská republika","4750.000","20.000","5700.000","2","platná",
