"VerejnyIdentifikatorZakazky","DatumPredlozeniaPonuky","Dodavatel_ICO","Dodavatel_ObchodnyNazov","Dodavatel_StatSidla","PredlozenaCenaBezDPH","SadzbaDPH","PredlozenaCenaSDPH","VyslednePoradie","StavKontraktacnejPonuky",
"Z20194178","9.4.2019 9:31:16","46360379","RIZNER s. r. o.","Slovenská republika","7320,990","20,000","8785,190","1","platná",
"Z20194178","9.4.2019 9:30:22","50210050","GEPI s.r.o.","Slovenská republika","7321,000","20,000","8785,200","2","platná",
"Z20197924","3.4.2019 10:36:49","35684038","CODUM s.r.o.","Slovenská republika","7416,000","20,000","8899,200","1","platná",
"Z20197924","1.4.2019 13:02:14","36547654","BEGA, s.r.o.","Slovenská republika","7500,000","20,000","9000,000","9","platná",
"Z20197924","3.4.2019 8:33:53","51312832","abaWood, s.r.o.","Slovenská republika","7450,000","20,000","8940,000","2","platná",
"Z20197924","2.4.2019 10:34:46","35400307","Jarmila Svítková-BIBIONE","Slovenská republika","7499,000","20,000","8998,800","3","platná",
"Z20197924","1.4.2019 13:43:44","44494254","BEBA plus s.r.o.","Slovenská republika","7499,990","20,000","8999,990","8","platná",
"Z20197924","5.4.2019 9:58:01","36428353","Železiarstvo HAMMER, s.r.o.","Slovenská republika","7499,970","20,000","8999,970","7","platná",
"Z20197924","3.4.2019 9:37:32","31396488","FALCO SLOVAKIA s.r.o.","Slovenská republika","7499,900","20,000","8999,880","5","platná",
"Z20197924","4.4.2019 16:44:02","17485100","Miroslav Šimko SIMEX","Slovenská republika","7499,960","20,000","8999,950","6","platná",
"Z20197924","3.4.2019 15:02:17","35195827","Marián Juhás MRJ","Slovenská republika","7499,550","20,000","8999,460","4","platná",
"Z20198833","8.4.2019 11:31:28","31717802","INTRAVENA s.r.o.","Slovenská republika","90,900","10,000","99,990","1","platná",
"Z20199291","1.4.2019 11:37:39","00685089","Tecton, a.s.","Slovenská republika","26710,320","20,000","32052,380","6","platná",
"Z20199291","2.4.2019 10:37:32","36556050","ITSK, s.r.o.","Slovenská republika","26700,010","20,000","32040,010","4","platná",
"Z20199291","1.4.2019 18:05:00","45433739","JVH, s. r. o.","Slovenská republika","26680,000","20,000","32016,000","1","platná",
"Z20199291","1.4.2019 13:46:48","50616617","Setop, s.r.o.","Slovenská republika","26699,980","20,000","32039,980","2","platná",
"Z20199429","1.4.2019 12:54:39","31625657","UNIPHARMA - 1.slovenská lekárnická akciová spoločnosť","Slovenská republika","7200,000","10,000","7920,000","1","platná",
"Z20199529","2.4.2019 9:09:52","34113924","MED - ART, spol. s r.o.","Slovenská republika","3222,990","10,000","3545,290","1","platná",
"Z20199529","2.4.2019 8:25:08","31625657","UNIPHARMA - 1.slovenská lekárnická akciová spoločnosť","Slovenská republika","3223,000","10,000","3545,300","2","platná",
"Z20199532","2.4.2019 8:39:08","31717802","INTRAVENA s.r.o.","Slovenská republika","5715,000","10,000","6286,500","1","platná",
"Z20199556","26.4.2019 8:17:15","31717802","INTRAVENA s.r.o.","Slovenská republika","410,310","10,000","451,340","1","platná",
"Z20199593","28.4.2019 11:47:01","47133694","DCX spol. s r.o.","Slovenská republika","550,000","10,000","605,000","1","platná",
"Z20199596","28.4.2019 11:49:38","47133694","DCX spol. s r.o.","Slovenská republika","1525,130","10,000","1677,640","1","platná",
"Z20199597","28.4.2019 11:50:45","47133694","DCX spol. s r.o.","Slovenská republika","195,500","10,000","215,050","1","platná",
"Z20199599","8.4.2019 11:28:08","31717802","INTRAVENA s.r.o.","Slovenská republika","2034,000","10,000","2237,400","1","platná",
"Z201910010","1.4.2019 9:48:46","34113924","MED - ART, spol. s r.o.","Slovenská republika","5564,640","10,000","6121,100","1","platná",
"Z201910011","1.4.2019 10:49:31","34113924","MED - ART, spol. s r.o.","Slovenská republika","10520,990","10,000","11573,090","1","platná",
"Z201910011","1.4.2019 9:43:23","31625657","UNIPHARMA - 1.slovenská lekárnická akciová spoločnosť","Slovenská republika","10521,000","10,000","11573,100","2","platná",
"Z201910012","1.4.2019 11:44:52","34113924","MED - ART, spol. s r.o.","Slovenská republika","5095,860","10,000","5605,450","1","platná",
"Z201910012","1.4.2019 9:44:38","31625657","UNIPHARMA - 1.slovenská lekárnická akciová spoločnosť","Slovenská republika","5095,870","10,000","5605,460","2","platná",
"Z201910015","1.4.2019 12:44:48","34113924","MED - ART, spol. s r.o.","Slovenská republika","6023,930","10,000","6626,320","1","platná",
"Z201910015","1.4.2019 9:45:42","31625657","UNIPHARMA - 1.slovenská lekárnická akciová spoločnosť","Slovenská republika","6023,940","10,000","6626,340","2","platná",
"Z201910024","1.4.2019 9:59:30","31625657","UNIPHARMA - 1.slovenská lekárnická akciová spoločnosť","Slovenská republika","7512,000","10,000","8263,200","1","platná",
"Z201910046","5.4.2019 7:53:36","31708030","MEDICAL GROUP SK a. s.","Slovenská republika","4732,990","10,000","5206,290","2","platná",
"Z201910046","5.4.2019 9:15:40","34113924","MED - ART, spol. s r.o.","Slovenská republika","4732,900","10,000","5206,190","1","platná",
"Z201910046","4.4.2019 8:17:02","31625657","UNIPHARMA - 1.slovenská lekárnická akciová spoločnosť","Slovenská republika","4733,000","10,000","5206,300","3","platná",
"Z201910361","2.4.2019 10:18:34","31717802","INTRAVENA s.r.o.","Slovenská republika","14552,000","10,000","16007,200","1","platná",
"Z201910362","8.4.2019 9:40:48","36815799","Vision IT Solutions, a. s.","Slovenská republika","121000,000","20,000","145200,000","2","platná",
"Z201910362","4.4.2019 14:40:32","35760419","Asseco Central Europe, a. s.","Slovenská republika","124999,000","20,000","149998,800","4","platná",
"Z201910362","5.4.2019 13:36:50","31349935","S&T Slovakia s.r.o.","Slovenská republika","129893,400","20,000","155872,080","5","platná",
"Z201910362","8.4.2019 9:08:48","44989709","eGroup Solutions, a. s. ","Slovenská republika","123000,000","20,000","147600,000","3","platná",
"Z201910362","8.4.2019 9:48:56","31326650","TEMPEST a.s.","Slovenská republika","120000,000","20,000","144000,000","1","platná",
"Z201910362","1.4.2019 12:45:52","31365078","PosAm, spol. s r.o.","Slovenská republika","129999,990","20,000","155999,990","8","platná",
"Z201910366","2.4.2019 11:49:11","11891581","Peter Šesták - KANPEX","Slovenská republika","38470,000","20,000","46164,000","2","platná",
