"VerejnyIdentifikatorZakazky","DatumPredlozeniaPonuky","Dodavatel_ICO","Dodavatel_ObchodnyNazov","Dodavatel_StatSidla","PredlozenaCenaBezDPH","SadzbaDPH","PredlozenaCenaSDPH","VyslednePoradie","StavKontraktacnejPonuky",
"Z20238504","11/3/2023 7:23:30 AM","36260231","BIOFLEX, s.r.o.","Slovenská republika","73920.000","20.000","88704.000","1","platná",
"Z202310827","11/6/2023 8:56:09 AM","31625657","UNIPHARMA - 1.slovenská lekárnická akciová spoločnosť","Slovenská republika","6602.050","10.000","7262.260","1","platná",
"Z202311043","11/2/2023 6:30:49 PM","36740870","ALEZA INTERIER, s.r.o.","Slovenská republika","4364.990","20.000","5237.990","1","platná",
"Z202311043","11/1/2023 11:35:03 PM","46729445","IGGY-TRADE s.r.o.","Slovenská republika","4365.000","20.000","5238.000","2","platná",
"Z202311525","11/2/2023 4:10:39 PM","00604496","MIKROCHEM spol. s r.o.","Slovenská republika","2956.000","20.000","3547.200","1","platná",
"Z202311525","11/2/2023 8:42:21 AM","31680259","ITES Vranov, s. r. o.","Slovenská republika","2958.300","20.000","3549.960","2","platná",
"Z202311572","11/3/2023 8:12:03 PM","35825987","AVDigital, s.r.o.","Slovenská republika","6120.990","20.000","7345.190","4","platná",
"Z202311572","11/5/2023 9:05:12 PM","53706587","LIsyst s.r.o.","Slovenská republika","6090.000","20.000","7308.000","2","platná",
"Z202311572","11/3/2023 3:07:02 PM","31344194","JURIGA spol. s r. o.","Slovenská republika","6121.940","20.000","7346.330","6","platná",
"Z202311574","11/2/2023 8:53:27 AM","31333532","ESET, spol. s r.o.","Slovenská republika","116722.000","20.000","140066.400","1","platná",
"Z202311585","11/3/2023 8:15:40 AM","36428353","Železiarstvo HAMMER, s.r.o.","Slovenská republika","1453.500","20.000","1744.200","3","platná",
"Z202311590","11/3/2023 8:35:23 AM","50627708","FBR s.r.o.","Slovenská republika","38621.980","","42610.000","3","platná",
"Z202311590","11/2/2023 5:49:13 PM","36473219","CIMBAĽÁK s.r.o.","Slovenská republika","38652.000","","42618.000","4","platná",
"Z202311598","11/2/2023 9:48:16 AM","43792782","HORTI s.r.o.","Slovenská republika","38000.000","20.000","45600.000","2","platná",
"Z202311598","11/3/2023 8:59:44 AM","10785370","Jozef Zavacký JES","Slovenská republika","39682.000","","45000.000","1","platná",
"Z202311599","11/3/2023 8:18:05 AM","54256411","fuudi a. s.","Slovenská republika","16050.000","20.000","19260.000","1","platná",
"Z202311599","11/3/2023 7:36:02 AM","34152199","Bidfood Slovakia s. r. o.","Slovenská republika","16058.310","20.000","19269.970","2","platná",
"Z202311684","11/2/2023 8:17:51 AM","44078145","TT Pharma, s.r.o.","Slovenská republika","68659.000","20.000","82390.800","2","platná",
"Z202311684","11/2/2023 8:54:57 AM","50822098","TradeMedical, a.s.","Slovenská republika","68559.000","20.000","82270.800","1","platná",
"Z202311688","11/2/2023 1:51:24 PM","36182966","Všeobecná obchodná, a.s.","Slovenská republika","257692.000","20.000","309230.400","1","platná",
"Z202311688","11/2/2023 4:28:05 PM","43774610","PNEU DT s.r.o.","Slovenská republika","289000.000","20.000","346800.000","3","platná",
"Z202311688","11/3/2023 11:25:58 AM","36699225","AMS PLUS s.r.o.","Slovenská republika","288000.000","20.000","345600.000","2","platná",
"Z202311717","11/2/2023 7:56:59 AM","51865467","Stredoslovenská energetika, a. s.","Slovenská republika","50414.740","20.000","60497.690","1","platná",
"Z202311723","11/2/2023 8:38:36 AM","35891866","CLEAN TONERY, s.r.o.","Slovenská republika","1840.000","20.000","2208.000","2","platná",
"Z202311723","11/1/2023 10:39:14 PM","51261171","DC Sielnica, n. o., „r. s. p.“","Slovenská republika","1672.000","10.000","1839.200","1","platná",
"Z202311725","11/2/2023 8:19:41 AM","52668011","Hesychia trade, s. r. o.","Slovenská republika","11999.000","20.000","14398.800","1","platná",
"Z202311725","11/2/2023 7:49:44 AM","36369365","TOMIRTECH, s. r. o.","Slovenská republika","12000.000","20.000","14400.000","2","platná",
"Z202311734","11/1/2023 6:59:30 PM","46489037","Silver Tech, s.r.o.","Slovenská republika","610.000","0.000","610.000","2","platná",
