"VerejnyIdentifikatorZakazky","DatumPredlozeniaPonuky","Dodavatel_ICO","Dodavatel_ObchodnyNazov","Dodavatel_StatSidla","PredlozenaCenaBezDPH","SadzbaDPH","PredlozenaCenaSDPH","VyslednePoradie","StavKontraktacnejPonuky",
"Z20238372","9/3/2023 7:31:43 PM","36374881","DIDACTIC Martin, s.r.o.","Slovenská republika","14560.000","20.000","17472.000","1","platná",
"Z20238379","9/4/2023 8:34:17 AM","46532617","CHANGE COMPUTER s. r. o.","Slovenská republika","103075.650","10.000","113383.220","3","platná",
"Z20238379","9/4/2023 11:34:26 AM","36289906","MIVASOFT, spol. s r.o.","Slovenská republika","93999.000","20.000","112798.800","1","platná",
"Z20238379","9/5/2023 7:35:24 AM","51662787","KASON, s.r.o.","Slovenská republika","94486.310","20.000","113383.570","4","platná",
"Z20238603","9/7/2023 4:55:36 PM","26013797","DVOŘÁK - svahové sekačky s.r.o.","Česká republika","31338.000","21.000","37918.980","1","platná",
"Z20238603","9/6/2023 4:37:21 PM","46360379","RIZNER s. r. o.","Slovenská republika","31625.000","20.000","37950.000","3","platná",
"Z20238603","9/7/2023 2:18:17 PM","45329478","ŠTÝL EU s.r.o.","Slovenská republika","31600.000","20.000","37920.000","2","platná",
"Z20238747","9/5/2023 9:32:29 AM","46586831","A-Z Gastro s.r.o.","Slovenská republika","24999.000","20.000","29998.800","3","platná",
"Z20238847","9/4/2023 1:36:53 PM","46729445","IGGY-TRADE s.r.o.","Slovenská republika","416.660","20.000","499.990","1","platná",
"Z20238860","9/4/2023 8:37:34 AM","46532617","CHANGE COMPUTER s. r. o.","Slovenská republika","8726.000","10.000","9598.600","3","platná",
"Z20238860","9/4/2023 11:31:51 AM","53706587","LIsyst s.r.o.","Slovenská republika","8004.200","20.000","9605.040","5","platná",
"Z20238860","9/4/2023 5:01:55 PM","36026506","IBG Slovensko, s.r.o.","Slovenská republika","6781.950","20.000","8138.340","1","platná",
"Z20238863","9/4/2023 6:06:29 AM","46964690","Meditech SK, s.r.o.","Slovenská republika","10100.000","20.000","12120.000","3","platná",
"Z20238863","9/5/2023 5:35:43 AM","36422363","REAL INVENT, s.r.o.","Slovenská republika","9992.000","20.000","11990.400","2","platná",
"Z20238863","9/5/2023 8:23:41 AM","36056677","VELCON spol.s r.o. ","Slovenská republika","9915.000","20.000","11898.000","1","platná",
"Z20238906","9/4/2023 7:23:32 AM","31625657","UNIPHARMA - 1.slovenská lekárnická akciová spoločnosť","Slovenská republika","28384.990","10.000","31223.490","2","platná",
"Z20238906","9/4/2023 8:50:21 AM","34113924","MED - ART, spol. s r.o.","Slovenská republika","28384.980","10.000","31223.480","1","platná",
"Z20238951","9/5/2023 8:07:11 AM","31411851","CHEMOLAK a.s.","Slovenská republika","9561.000","20.000","11473.200","1","platná",
