"VerejnyIdentifikatorZakazky","DatumPredlozeniaPonuky","Dodavatel_ICO","Dodavatel_ObchodnyNazov","Dodavatel_StatSidla","PredlozenaCenaBezDPH","SadzbaDPH","PredlozenaCenaSDPH","VyslednePoradie","StavKontraktacnejPonuky",
"Z20249263","11/5/2024 12:28:49 PM","56494416","PG NETWORK s. r. o.","Slovenská republika","1011.000","","1011.000","2","platná",
"Z20249263","11/5/2024 12:29:10 PM","36428353","Železiarstvo HAMMER, s.r.o.","Slovenská republika","842.490","20.000","1010.990","1","platná",
"Z20249299","11/3/2024 7:47:16 PM","52700763","RAMOTECH s. r. o.","Slovenská republika","400.000","20.000","480.000","2","platná",
"Z20249299","11/4/2024 8:51:36 AM","36539457","H-COLOR, spol.s.r.o.","Slovenská republika","399.990","20.000","479.990","1","platná",
"Z20249301","11/4/2024 8:48:41 PM","35900008","HYCA s.r.o.","Slovenská republika","32286.650","20.000","38743.980","5","platná",
"Z20249301","11/4/2024 4:11:03 PM","45329478","ŠTÝL EU s.r.o.","Slovenská republika","32286.830","20.000","38744.200","7","platná",
"Z20249301","11/5/2024 8:26:11 AM","35972564","YACHTER s.r.o.","Slovenská republika","31666.000","20.000","37999.200","1","platná",
"Z20249301","11/5/2024 8:44:35 AM","50282026","Woodensky SK,s.r.o","Slovenská republika","32286.910","20.000","38744.290","8","platná",
"Z20249351","11/5/2024 7:21:42 AM","33768897","PhDr. Gabriela Spišáková - Majster Papier","Slovenská republika","2145.000","20.000","2574.000","1","platná",
"Z20249360","11/3/2024 8:28:44 PM","36556050","ITSK, s.r.o.","Slovenská republika","1130.490","20.000","1356.590","3","platná",
"Z20249360","11/4/2024 8:53:11 AM","31344194","JURIGA spol. s r. o.","Slovenská republika","1130.470","20.000","1356.570","1","platná",
"Z20249360","11/3/2024 9:50:47 PM","35891866","CLEAN TONERY, s.r.o.","Slovenská republika","1130.480","20.000","1356.580","2","platná",
"Z20249419","11/3/2024 7:41:34 PM","46489037","Silver Tech, s.r.o.","Slovenská republika","175.000","0.000","175.000","1","platná",
"Z20249431","11/5/2024 8:09:07 AM","45329478","ŠTÝL EU s.r.o.","Slovenská republika","2497.000","20.000","2996.400","2","platná",
"Z20249454","11/5/2024 7:53:07 AM","35832274","BATTEX Slovakia, s.r.o.","Slovenská republika","614.000","20.000","736.800","3","platná",
"Z20249454","11/5/2024 11:43:23 AM","50282026","Woodensky SK,s.r.o","Slovenská republika","610.000","20.000","732.000","2","platná",
"Z20249461","11/5/2024 8:45:01 AM","46457763","SoftwareONE Slovakia s.r.o.","Slovenská republika","100500.000","20.000","120600.000","1","platná",
"Z20249462","11/4/2024 2:01:01 PM","47067268","CryoChem Slovakia s.r.o.","Slovenská republika","2125.000","20.000","2550.000","1","platná",
"Z20249471","11/4/2024 8:44:49 PM","46489037","Silver Tech, s.r.o.","Slovenská republika","500.000","0.000","500.000","2","platná",
"Z20249471","11/5/2024 8:25:01 AM","52913805","Marián Hucík - Kika Wood","Slovenská republika","416.000","20.000","499.200","1","platná",
"Z20249472","11/5/2024 9:43:06 AM","46489037","Silver Tech, s.r.o.","Slovenská republika","500.000","0.000","500.000","1","platná",
"Z20249473","11/4/2024 8:36:49 AM","53464770","Rozvoj a spolupráca s.r.o. , registrovaný sociálny podnik","Slovenská republika","17262.550","10.000","18988.810","2","platná",
"Z20249479","11/3/2024 5:48:34 PM","36289906","MIVASOFT, spol. s r.o.","Slovenská republika","110638.000","20.000","132765.600","3","platná",
"Z20249479","11/2/2024 12:49:41 PM","44078145","TT Pharma, s.r.o.","Slovenská republika","110630.000","20.000","132756.000","1","platná",
"Z20249479","11/4/2024 9:10:45 AM","35731486","Media Comp. s.r.o.","Slovenská republika","110631.000","20.000","132757.200","2","platná",
"Z20249488","11/5/2024 12:33:35 PM","45515930","Chromservis SK s.r.o.","Slovenská republika","213.800","20.000","256.560","1","platná",
"Z20249509","11/5/2024 7:37:47 AM","31606300","BB KOMES - EXPORT - IMPORT, s.r.o.","Slovenská republika","1665.000","20.000","1998.000","1","platná",
"Z20249520","11/3/2024 7:51:56 PM","52700763","RAMOTECH s. r. o.","Slovenská republika","750.000","20.000","900.000","1","platná",
"Z20249548","11/5/2024 9:46:22 AM","34101110","BETRIX, s.r.o.","Slovenská republika","11907.770","20.000","14289.330","2","platná",
