"IdentifikatorZakazky","IdentifikatorZmluvy","ObjednavatelObchodneMeno","ObjednavatelICO","ObjednavatelStat","ObjednavatelObec","ObjednavatelPSC","ObjednavatelUlica","DodavatelObchodneMeno","DodavatelICO","DodavatelStat","DodavatelObec","DodavatelPSC","DodavatelUlica","ZmluvnyVztah","OpisnyFormularNazov","OpisnyFormularCpv","OpisnyFormularDruh","OpisnyFormularKategoriaSluzieb","MiestoPlneniaStat","MiestoPlneniaKraj","MiestoPlneniaOkres","MiestoPlneniaObec","MiestoPlneniaUlica","LehotaPlneniaOd","LehotaPlneniaDo","LehotaPlneniaPresne","MnozstvoJednotka","MnozstvoHodnota","CenaBezDPH","CenaSadzbaDPH","CenaVrataneDPH","Uspora","DatumZazmluvnenia","IdStavVCrz",
"Z201850369","Z201850369_Z","Národný onkologický ústav","00165336","Slovenská republika","Bratislava","83110","Klenová 1","MEDICAL GROUP SK a. s.","31708030","Slovenská republika","Bratislava","83104","Trnavská cesta 27/B","Rámcová dohoda","Lieky ATC skupiny - N02BB02 Metamizol 500mg/ml, 1000mg/2ml","33661200-3 Analgetiká;60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar;Služba","","Slovenská republika","Bratislavský","Bratislava III","Bratislava - mestská časť Nové Mesto","Klenová 1","","","","bal","750,0000","1839,000","10,000","2022,900","867,820","6.12.2018 12:10:00","2",
"Z201851359","Z201851359_Z","Okresný súd Nové Mesto nad Váhom","42025524","Slovenská republika","Nové Mesto nad Váhom","91519","Hviezdoslavova 37","Up Slovensko, s. r. o.","31396674","Slovenská republika","Bratislava","82101","Tomášikova 23/D","Zmluva o poskytovaní služieb","Zabezpečenie stravovania zamestnancov prostredníctvom stravných lístkov.","30199770-8 Stravné poukážky;55520000-1 Služby hromadného stravovania;60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar;Služba","","Slovenská republika","Trenčiansky","Nové Mesto nad Váhom","Nové Mesto nad Váhom","Hviezdoslavova 37","1.1.2019 15:04:00","31.12.2021 15:04:00","","ks","41666,0000","199856,800","","199856,800","142,200","3.12.2018 15:44:00","2",
"Z201851770","Z201851770_Z","Technické a záhradnícke služby mesta Michalovce","186490","Slovenská republika","Michalovce","07101","Partizánska 55","Up Slovensko, s. r. o.","31396674","Slovenská republika","Bratislava","82101","Tomášikova 23/D","Zmluva o poskytovaní služieb","Zabezpečenie stravovania zamestnancov prostredníctvom stravných poukážok alebo ekvivalent","30199770-8 Stravné poukážky;60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar;Služba","","Slovenská republika","Košický","Michalovce","Michalovce","Partizánska 55","1.1.2019 8:00:00","31.12.2019 14:00:00","","ks","40000,0000","157552,000","","157552,000","4368,000","5.12.2018 11:00:00","2",
"Z201851761","Z201851761_Z","Žilinský samosprávny kraj","37808427","Slovenská republika","Žilina","01109","Komenského 48","PC SEMA, s.r.o.","36426041","Slovenská republika","Žilina","01001","Bôrická cesta 103","Rámcová dohoda","Nákup originálnych tonerov","30125100-2 Tonerové náplne;60000000-8 Dopravné služby (bez prepravy odpadu);90500000-2 Služby súvisiace s likvidáciou odpadu a odpadom","Tovar;Služba","","Slovenská republika","Žilinský","Žilina","Žilina","Komenského 48 ","","","","kpl","1,0000","54000,000","20,000","64800,000","22907,400","5.12.2018 10:52:00","2",
"Z201851826","Z201851826_Z","Kysucké múzeum v Čadci","36145076","Slovenská republika","Čadca","02201","Moyzesova č. 50","DMC, s.r.o.","36777455","Slovenská republika","Šurany - Časť Nitriansky Hrádok","94201","Riečna 2541/3","Zmluva o poskytovaní služieb","Tlač publikácie ""Žilinský kraj na križovatkách dejín""","79800000-2 Tlačiarenské a príbuzné služby;79810000-5 Tlačiarenské služby","Služba","","Slovenská republika","Žilinský","Čadca","Čadca","Moyzesova 50","7.12.2018 10:00:00","20.12.2018 14:00:00","","ks","500,0000","3180,910","10,000","3499,000","1401,000","5.12.2018 9:38:00","2",
"Z201851845","Z201851845_Z","Nemocnica s poliklinikou Myjava","00610721","Slovenská republika","Myjava","90701","Staromyjavská 59","KORAKO plus, s. r. o.","43959954","Slovenská republika","Partizánske","95804","Bielická 369","Rámcová dohoda","Posteľná, hygienická a kuchynská bielizeň","39512000-4 Posteľná bielizeň;60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar;Služba","","Slovenská republika","Trenčiansky","Myjava","Myjava","Staromyjavská 59","","","","celok","1,0000","4725,000","20,000","5670,000","1938,000","3.12.2018 9:54:00","2",
"Z201851856","Z201851856_Z","LIKAVA - centrum sociálnych služieb","00647781","Slovenská republika","Likavka","03495","Likavka 9","BCF s.r.o.","36597007","Slovenská republika","Banská Bystrica","97405","Zvolenská cesta 14","Kúpna zmluva","Dodávka elektrickej energie","09310000-5 Elektrická energia;65300000-6 Rozvod elektriny a súvisiace služby","Tovar;Služba","","Slovenská republika","Žilinský","Ružomberok","Likavka","Likavka 9","1.1.2019 0:00:00","1.1.2020 0:00:00","","kompletná technická špecifikácia predmetu zákazky","1,0000","39796,980","20,000","47756,380","7570,980","3.12.2018 13:49:59","2",
"Z201851865","Z201851865_Z","Obec Drahovce","00312461","Slovenská republika","Drahovce","92241","Hlavná 429/127","NILTEX s. r. o.","51873885","Slovenská republika","Sládkovičovo","92521","Košútska 72","Kúpna zmluva","Záhradné kompostéry_","39234000-1 Škatule na kompost;60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar;Služba","","Slovenská republika","Trnavský","Piešťany","Drahovce","Hlavná 429/127","17.12.2018 13:12:00","17.4.2019 13:13:00","","ks","852,0000","69165,830","20,000","82999,000","43469,000","3.12.2018 8:06:00","2",
"Z201852237","Z201852237_Z","Univerzita veterinárskeho lekárstva a farmácie v Košiciach","00397474","Slovenská republika","Košice","04181","Komenského 73","PHARMACOPOLA s.r.o.","31570895","Slovenská republika","Žiar nad Hronom","96501","Svätokrížske námestie 11","Rámcová dohoda","Krmivo a diéty pre psov a mačky IV.","15700000-5 Krmivo pre zvieratá;60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar;Služba","","Slovenská republika","Košický","Košice I","Košice - mestská časť Sever","Komenského 73","","","","podľa opisu - súbor","1,0000","6488,330","20,000","7786,000","0,000","3.12.2018 9:44:00","2",
"Z201852247","Z201852247_Z","Domov sociálnych služieb a zariadenie pre seniorov Rača","30804191","Slovenská republika","Bratislava","83106","Pri vinohradoch 267","GIEGO s.r.o.","51055724","Slovenská republika","Tvrdošín","02744","Vojtaššákova 846","Kúpna zmluva","vodovodné batérie","44410000-7 Predmety do kúpeľní a kuchýň;44411000-4 Sanitárne výrobky;60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar;Služba","","Slovenská republika","Bratislavský","Bratislava III","Bratislava - mestská časť Rača","Podbrezovská 28","6.12.2018 8:00:00","12.12.2018 14:00:00","","súbor","1,0000","525,000","20,000","630,000","69,960","3.12.2018 10:54:00","2",
