"IdentifikatorZakazky","IdentifikatorZmluvy","ObjednavatelObchodneMeno","ObjednavatelICO","ObjednavatelStat","ObjednavatelObec","ObjednavatelPSC","ObjednavatelUlica","DodavatelObchodneMeno","DodavatelICO","DodavatelStat","DodavatelObec","DodavatelPSC","DodavatelUlica","ZmluvnyVztah","OpisnyFormularNazov","OpisnyFormularCpv","OpisnyFormularDruh","OpisnyFormularKategoriaSluzieb","MiestoPlneniaStat","MiestoPlneniaKraj","MiestoPlneniaOkres","MiestoPlneniaObec","MiestoPlneniaUlica","LehotaPlneniaOd","LehotaPlneniaDo","LehotaPlneniaPresne","MnozstvoJednotka","MnozstvoHodnota","CenaBezDPH","CenaSadzbaDPH","CenaVrataneDPH","Uspora","DatumZazmluvnenia","IdStavVCrz",
"Z20252208","Z20252208_Z","Ministerstvo obrany Slovenskej republiky","30845572","Slovenská republika","Bratislava - mestská časť Nové Mesto","83247","Námestie generála Viesta 11694/2","Svetlux, s.r.o.","46352597","Slovenská republika","Kriváň","96204","Kriváň 144","Kúpna zmluva","Elektroinštalačný materiál ","31681000-3 Elektropríslušenstvo;31681410-0 Elektromateriály;60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar;Služba","","Slovenská republika","Banskobystrický","Brezno","Nemecká","Nemecká súp. číslo 1043","6/6/2025 9:30:00 AM","7/7/2025 12:00:00 PM","","jeden celok","1.0000","463.410","23.000","570.000","429.990","6/5/2025 9:38:00 AM","",
"Z20252226","Z20252226_Z","Správa ciest Trenčianskeho samosprávneho kraja","37915568","Slovenská republika","Trenčín","91105","Brnianska 3","František Matušík - AUTOAGREGÁTY, AUTOELEKTRIKA","17843987","Slovenská republika","Považská Bystrica","017 01","Centrum 1749/45","Rámcová dohoda","Náhradné diely do osobných a úžitkových automobilov","34320000-6 Mechanické náhradné súčiastky okrem motorov a ich častí;34330000-9 Náhradné diely pre vozidlá na prepravu tovaru, pre dodávky a osobné automobily;60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar;Služba","","Slovenská republika","Trenčiansky","","","","","","","celok","1.0000","20490.000","23.000","25202.700","10.000","6/3/2025 1:26:00 PM","",
"Z20252243","Z20252243_Z","Štátny geologický ústav Dionýza Štúra","31753604","Slovenská republika","Bratislava-Staré Mesto","81704","Mlynská dolina 1","Hermes LabSystems, s.r.o.","35693487","Slovenská republika","Bratislava","831 06","Púchovská 12","Kúpna zmluva","Špeciálny spotrebný materiál  s inštaláciou k prístroju plynový chromatograf Agilent GC7890B, MSD 5977B, GERSTEL Twister System","34913000-0 Rôzne náhradné diely;60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar;Služba","","Slovenská republika","Košický","Spišská Nová Ves","Spišská Nová Ves","Markušovská cesta 1, 052 01  Spišská Nová Ves","6/16/2025 10:00:00 AM","10/31/2025 10:00:00 AM","","zákazka","1.0000","4512.200","23.000","5550.000","110.460","6/5/2025 3:38:00 PM","",
"Z20252247","Z20252247_Z","Správa ciest Bratislavského samosprávneho kraja","53871103","Slovenská republika","Bratislava","82712","Čučoriedková 6","Solar 2009, a. s.","50248685","Slovenská republika","Trnava","91701","Piešťanská 3","Kúpna zmluva","Nafta motorová dovozom cisternami","09134100-8 Motorová nafta;60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar;Služba","","Slovenská republika","Bratislavský","Bratislava II","Bratislava - mestská časť Vrakuňa","Čučoriadkova 6","6/4/2025 12:00:00 PM","6/16/2025 12:00:00 PM","","liter","10000.0000","10680.000","23.000","13136.400","620.810","6/2/2025 11:48:00 AM","",
"Z20252246","Z20252246_Z","Štátny geologický ústav Dionýza Štúra","31753604","Slovenská republika","Bratislava-Staré Mesto","81704","Mlynská dolina 1","CENTRALCHEM, s.r.o.","51324440","Slovenská republika","Bratislava","83102","Račianska 66","Rámcová dohoda","Chemikálie","24311000-7 Chemické prvky, anorganické kyseliny a zlúčeniny;24327000-2 Rôzne organické chemikálie;60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar;Služba","","Slovenská republika","Košický","Spišská Nová Ves","Spišská Nová Ves","Markušovská cesta 1, 052 01  Spišská Nová Ves","","","","súbor","3.0000","19265.850","23.000","23697.000","543.840","6/5/2025 3:54:00 PM","",
"Z20252257","Z20252257_Z","Ministerstvo obrany Slovenskej republiky","30845572","Slovenská republika","Bratislava - mestská časť Nové Mesto","83247","Námestie generála Viesta 11694/2","RAMOTECH s. r. o.","52700763","Slovenská republika","Bardejov","08501","Richvald 123","Kúpna zmluva","Káble, konektory a nabíjačky","30197110-0 Svorky;31224000-2 Spájacie a kontaktné prvky;31224810-3 Predlžovacie káble;44318000-2 Vodiče;44320000-9 Káble a súvisiace výrobky;44321000-6 Káble;44322200-5 Káblové konektory;60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar;Služba","","Slovenská republika","Nitriansky","Topoľčany","Topoľčany","Tovarnícka 1249","6/9/2025 7:00:00 AM","6/30/2025 1:00:00 PM","","množstva sú uvedené v opisnom formulári ","1.0000","2382.000","23.000","2929.860","22.140","6/5/2025 2:38:00 PM","",
"Z20252267","Z20252267_Z","Kancelária Národnej rady Slovenskej republiky","00151491","Slovenská republika","Bratislava - Staré Mesto","81280","Nám. Alexandra Dubčeka 1","INGEO - ENVILAB, s.r.o.","36373354","Slovenská republika","Žilina","01001","Bytčická 16","Rámcová dohoda","Odbery, rozbory a vyhodnotenia vzoriek pitnej a bazénovej vody ÚZ Častá Papiernička","90733000-4 Služby súvisiace so znečistením vody","Služba","","Slovenská republika","Bratislavský","Pezinok","Častá","Častá Papiernička, 900 89 Častá","","","","Minimálny počet odobratých vzoriek	","26.0000","1951.220","23.000","2400.000","60.000","6/2/2025 10:38:00 AM","",
"Z20252268","Z20252268_Z","Kancelária Národnej rady Slovenskej republiky","00151491","Slovenská republika","Bratislava - Staré Mesto","81280","Nám. Alexandra Dubčeka 1","INGEO - ENVILAB, s.r.o.","36373354","Slovenská republika","Žilina","01001","Bytčická 16","Rámcová dohoda","Odbery a rozbory odpadových vôd ÚZ Častá Papiernička","90733000-4 Služby súvisiace so znečistením vody","Služba","","Slovenská republika","Bratislavský","Pezinok","Častá","Častá Papiernička, 900 89 Častá","","","","Minimálny počet odobratých vzoriek	","4.0000","317.070","23.000","390.000","225.000","6/2/2025 11:42:00 AM","",
"Z20252288","Z20252288_Z","Slovenská technická univerzita v Bratislave","00397687","Slovenská republika","Bratislava","81243","Vazovova 5","RAINSIDE s.r.o.","31386946","Slovenská republika","Bratislava","82102","Teslova 43","Kúpna zmluva","Firewall Fortigate 120G","32420000-3 Sieťové zariadenia;60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar;Služba","","Slovenská republika","Bratislavský","Bratislava I","Bratislava - mestská časť Staré Mesto","Radlinského 9","6/4/2025 10:00:00 AM","6/16/2025 2:00:00 PM","","Položka","1.0000","30350.000","23.000","37330.500","2650.000","6/2/2025 10:12:00 AM","",
"Z20252289","Z20252289_Z","Psychiatrická nemocnica Veľké Zálužie","00607274","Slovenská republika","Veľké Zálužie","95135","Rínok 334","ABAmet, s.r.o.","47966947","Slovenská republika","Galanta","92401","Mierové nám. 4","Kúpna zmluva","Kovové šatňové skrine 1800","39141300-5 Skrine;60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar;Služba","","Slovenská republika","Nitriansky","Nitra","Veľké Zálužie","Rínok 334/48, 951 35 Veľké Zálužie","6/9/2025 11:14:00 AM","7/5/2025 11:14:00 AM","","ks","16.0000","5313.010","23.000","6535.000","1535.030","6/4/2025 11:58:00 AM","",
