"VerejnyIdentifikatorZakazky","DatumPredlozeniaPonuky","Dodavatel_ICO","Dodavatel_ObchodnyNazov","Dodavatel_StatSidla","PredlozenaCenaBezDPH","SadzbaDPH","PredlozenaCenaSDPH","VyslednePoradie","VstupnaPonuka","Platna",
"Z20245975","10/2/2024 8:16:24 AM","50197975","Surgitech s. r. o.","Slovenská republika","196700.00","20.00","236040.00","","False","False",
"Z20245975","10/2/2024 8:19:00 AM","50512285","MEDECOR Slovensko s. r. o.","Slovenská republika","196695.00","20.00","236034.00","","False","False",
"Z20245975","10/2/2024 8:19:50 AM","17323100","Askin & Co., spol. s r.o.","Slovenská republika","196690.00","20.00","236028.00","","False","False",
"Z20245975","10/2/2024 8:20:44 AM","50197975","Surgitech s. r. o.","Slovenská republika","196650.00","20.00","235980.00","","False","False",
"Z20245975","10/2/2024 8:21:52 AM","50512285","MEDECOR Slovensko s. r. o.","Slovenská republika","196640.00","20.00","235968.00","","False","False",
"Z20245975","10/2/2024 8:22:47 AM","17323100","Askin & Co., spol. s r.o.","Slovenská republika","196630.00","20.00","235956.00","","False","False",
"Z20245975","10/2/2024 8:25:04 AM","50197975","Surgitech s. r. o.","Slovenská republika","196600.00","20.00","235920.00","","False","False",
"Z20245975","10/2/2024 8:27:51 AM","50512285","MEDECOR Slovensko s. r. o.","Slovenská republika","196590.00","20.00","235908.00","","False","False",
"Z20245975","10/2/2024 8:30:08 AM","50197975","Surgitech s. r. o.","Slovenská republika","196550.00","20.00","235860.00","","False","False",
"Z20245975","10/2/2024 8:32:01 AM","17323100","Askin & Co., spol. s r.o.","Slovenská republika","196545.00","20.00","235854.00","3","False","True",
"Z20245975","10/2/2024 8:32:25 AM","50197975","Surgitech s. r. o.","Slovenská republika","196530.00","20.00","235836.00","","False","False",
"Z20245975","10/2/2024 8:34:11 AM","50512285","MEDECOR Slovensko s. r. o.","Slovenská republika","196520.00","20.00","235824.00","2","False","True",
"Z20245975","10/2/2024 8:34:44 AM","50197975","Surgitech s. r. o.","Slovenská republika","196500.00","20.00","235800.00","1","False","True",
"Z20247728","10/1/2024 6:58:49 AM","36428353","Železiarstvo HAMMER, s.r.o.","Slovenská republika","285.15","20.00","342.18","","True","False",
"Z20247728","10/1/2024 7:34:53 AM","36428353","Železiarstvo HAMMER, s.r.o.","Slovenská republika","199.17","20.00","239.00","1","False","True",
"Z20247755","10/1/2024 9:02:31 AM","44007841","IMAO electric, s. r. o.","Slovenská republika","1550.00","20.00","1860.00","","True","False",
"Z20247755","10/1/2024 7:01:09 PM","14268035","Vladimír Janičina ELKO","Slovenská republika","1542.00","20.00","1850.40","","True","False",
"Z20247755","10/2/2024 7:15:45 AM","36322229","ROTEX ELEKTRO s.r.o.","Slovenská republika","1500.00","20.00","1800.00","","False","False",
"Z20247755","10/2/2024 7:19:47 AM","44007841","IMAO electric, s. r. o.","Slovenská republika","1416.67","20.00","1700.00","","False","False",
"Z20247755","10/2/2024 7:20:34 AM","36322229","ROTEX ELEKTRO s.r.o.","Slovenská republika","1333.33","20.00","1600.00","","False","False",
"Z20247755","10/2/2024 7:20:59 AM","14268035","Vladimír Janičina ELKO","Slovenská republika","1332.50","20.00","1599.00","3","False","True",
"Z20247755","10/2/2024 7:22:38 AM","44007841","IMAO electric, s. r. o.","Slovenská republika","1250.00","20.00","1500.00","","False","False",
"Z20247755","10/2/2024 7:23:16 AM","36322229","ROTEX ELEKTRO s.r.o.","Slovenská republika","1166.67","20.00","1400.00","","False","False",
"Z20247755","10/2/2024 7:23:57 AM","44007841","IMAO electric, s. r. o.","Slovenská republika","1083.33","20.00","1300.00","","False","False",
"Z20247755","10/2/2024 7:30:13 AM","36322229","ROTEX ELEKTRO s.r.o.","Slovenská republika","1083.32","20.00","1299.99","2","False","True",
"Z20247755","10/2/2024 7:30:43 AM","44007841","IMAO electric, s. r. o.","Slovenská republika","1075.00","20.00","1290.00","1","False","True",
