"IdentifikatorZakazky","ZakazkaUrl","ReferenciaTyp","ReferenciaDatumPoslednejZmeny","ReferenciaDovodPoslednejZmeny","ReferenciaPolozka","DodavatelObchodneMeno","DodavatelICO","DodavatelStat",
"Z201511883","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/12247","Pozitívne","3.2.2020 12:15:39","","","SKLÁDKY a ODPADY s. r. o.","34122303","Slovenská republika",
"Z201515974","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/16338","Pozitívne","3.2.2020 8:55:14","","","AVE SK odpadové hospodárstvo s.r.o.","36357065","Slovenská republika",
"Z201530899","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/31263","Pozitívne","3.2.2020 7:51:36","","","TechSoft Engineering, spol. s r.o.","44266537","Česká republika",
"Z201530910","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/31274","Pozitívne","3.2.2020 7:39:48","","","JRM Slovakia, s.r.o.","36240842","Slovenská republika",
"Z201530916","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/31280","Pozitívne","3.2.2020 7:50:52","","","TechSoft Engineering, spol. s r.o.","44266537","Česká republika",
"Z201530919","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/31283","Pozitívne","3.2.2020 7:48:29","","","elfa, s.r.o.","31648410","Slovenská republika",
"Z201532560","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/32924","Pozitívne","3.2.2020 7:47:16","","","PRAGOLAB s.r.o. ","31352839","Slovenská republika",
"Z201535415","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/35779","Pozitívne","3.2.2020 7:49:28","","","elfa, s.r.o.","31648410","Slovenská republika",
"Z20165110","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/47474","Pozitívne","3.2.2020 10:54:52","","","DAG SLOVAKIA, a. s.","44886021","Slovenská republika",
"Z20166196","https://portal.eks.sk/SpravaZakaziek/Zakazky/Detail/48560","Pozitívne","3.2.2020 10:44:12","","","DAG SLOVAKIA, a. s.","44886021","Slovenská republika",
