"OpisnyFormularIdentifikator","OpisnyFormularStav","OpisnyFormularNazov","OpisnyFormularKlucoveSlova","OpisnyFormularCpv","OpisnyFormularDruh","OpisnyFormularKategoriaSluzieb","OpisnyFormularUrl","OpisnyFormularPocetVyhlasenychZakaziek","OpisnyFormularObchodovanaSumaBezDPH",
"OF-189597","Po karanténe","Diagnostika kompetencií","diagnostika, účastníci, CŽV, kompetencie","80000000-4 Vzdelávacie a školiace (výcvikové) služby","Služba","","https://portal.eks.sk/SpravaKniznice/OpisneFormulareKniznice/VerejnyDetailOpisnehoFormularaKniznice/189597","0","0",
"OF-189601","Po karanténe","Náboru cieľovej skupiny","nábor, cieľová skupina, spätná väzba, CŽV","80000000-4 Vzdelávacie a školiace (výcvikové) služby","Služba","","https://portal.eks.sk/SpravaKniznice/OpisneFormulareKniznice/VerejnyDetailOpisnehoFormularaKniznice/189601","0","0",
"OF-191700","Po karanténe","Stravné poukážky","stravné lístky, stravné poukážky, dodanie stravných lístkov, zabezpečenie stravovania","30199770-8 Stravné poukážky; 55520000-1 Služby hromadného stravovania; 60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar; Služba","","https://portal.eks.sk/SpravaKniznice/OpisneFormulareKniznice/VerejnyDetailOpisnehoFormularaKniznice/191700","0","0",
"OF-192461","Po karanténe","Čistenie upchatého kanalizačného potrubia, kanalizačných vpustí","Čistenie kanalizácie, čistenie kanalizačného potrubia, čistenie kanalizačných vpustí","90470000-2 Služby na čistenie kanálov na odpadovú vodu; 90640000-5 Služby na čistenie a vyprázdňovanie vpustov; 90400000-1 Kanalizačné služby; 90000000-7 Kanalizačné služby, služby na odstraňovanie odpadu, čistenie a environmentálne služby","Služba","","https://portal.eks.sk/SpravaKniznice/OpisneFormulareKniznice/VerejnyDetailOpisnehoFormularaKniznice/192461","0","0",
"OF-192744","Po karanténe","Autopotreby ","kvapalina do ostrekovačov, odmasťovací prostriedok, čistič kontaktov, čistič diskov kolies, prípravok na čistenie motorov, čistič bŕzd, ošetrovanie pneumatík, odhrdzovač, ","39831500-1 Čistiace prostriedky na autá; 24951310-1 Pripravené tekutiny na odmrazovanie; 39831240-0 Zlúčeniny na čistenie; 24951311-8 Prípravky proti zamŕzaniu; 39831220-4 Odmasťovacie prostriedky; 60000000-8 Dopravné služby (bez prepravy odpadu); 24963000-2 Antikorozívne výrobky","Tovar; Služba","","https://portal.eks.sk/SpravaKniznice/OpisneFormulareKniznice/VerejnyDetailOpisnehoFormularaKniznice/192744","0","0",
"OF-192984","Po karanténe","Didaktické pomôcky pre MŠ, hračky, nábytok","Didaktické pomôcky pre MŠ, hračky, nábytok","37520000-9 Hračky; 39162200-7 Učebné pomôcky a zariadenia; 60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar; Služba","","https://portal.eks.sk/SpravaKniznice/OpisneFormulareKniznice/VerejnyDetailOpisnehoFormularaKniznice/192984","0","0",
"OF-193037","Po karanténe","Propagačné predmety s potlačou","pero, šálka, USB kľúč, nálepka, samolepka, banner, vonkajšia tabuľa, potlač","39294100-0 Informačné a propagačné výrobky; 60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar; Služba","","https://portal.eks.sk/SpravaKniznice/OpisneFormulareKniznice/VerejnyDetailOpisnehoFormularaKniznice/193037","0","0",
"OF-193237","Po karanténe","Osobné ochranné pracovné pomôcky ","Osobné ochranné pracovné pomôcky ","18110000-3 Pracovné odevy; 18100000-0 Pracovné odevy, špeciálne pracovné odevy a doplnky; 18444000-3 Ochranné pokrývky hlavy; 18800000-7 Obuv; 18811000-7 Nepremokavá obuv; 18830000-6 Ochranná obuv; 60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar","","https://portal.eks.sk/SpravaKniznice/OpisneFormulareKniznice/VerejnyDetailOpisnehoFormularaKniznice/193237","0","0",
"OF-193284","Po karanténe","Kancelárske potreby","Kancelárske potreby","30190000-7 Rôzne kancelárske zariadenia a kancelárske potreby; 30192000-1 Kancelárske potreby; 60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar; Služba","","https://portal.eks.sk/SpravaKniznice/OpisneFormulareKniznice/VerejnyDetailOpisnehoFormularaKniznice/193284","0","0",
"OF-193299","Po karanténe","Špeciálne chemikálie na výskum","chemikálie","24960000-1 Rôzne chemické výrobky; 24000000-4 Chemické výrobky","Tovar","","https://portal.eks.sk/SpravaKniznice/OpisneFormulareKniznice/VerejnyDetailOpisnehoFormularaKniznice/193299","0","0",
"OF-193430","Po karanténe","ORIGINÁLNE TONERY","originálne tonery, originálne náplne do tlačiarní, tonery a náplne do kopírovacích strojov ","30125100-2 Tonerové náplne; 30125110-5 Toner do laserových tlačiarní/faxových prístrojov; 30125120-8 Toner do fotokopírovacích strojov; 60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar; Služba","","https://portal.eks.sk/SpravaKniznice/OpisneFormulareKniznice/VerejnyDetailOpisnehoFormularaKniznice/193430","0","0",
"OF-193437","Po karanténe","vata buničitá, bielená - prierezy","vata, buničitá, prierezy, ošetrovanie rán","33140000-3 Zdravotnícky spotrebný materiál; 33141117-3 Vata; 60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar; Služba","","https://portal.eks.sk/SpravaKniznice/OpisneFormulareKniznice/VerejnyDetailOpisnehoFormularaKniznice/193437","0","0",
"OF-193477","Po karanténe","Zabezpečenie leteckej prepravy a storno poistenia leteniek pre zahraničné pracovné cesty do konca augusta 2019","letenky, služby súvisiace s prepravou osôb, storno poistenie","60400000-2 Letecké dopravné služby; 63510000-7 Služby cestovných kancelárií a podobné služby; 60410000-5 Pravidelné letecké dopravné služby; 60420000-8 Nepravidelné letecké dopravné služby; 60000000-8 Dopravné služby (bez prepravy odpadu); 66514100-7 Poistenie týkajúce sa dopravy","Služba","","https://portal.eks.sk/SpravaKniznice/OpisneFormulareKniznice/VerejnyDetailOpisnehoFormularaKniznice/193477","1","0",
"OF-193482","Po karanténe","vata obväzová skladaná","vata, vata obväzová, ošetrovanie rán","33140000-3 Zdravotnícky spotrebný materiál; 33141117-3 Vata; 60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar; Služba","","https://portal.eks.sk/SpravaKniznice/OpisneFormulareKniznice/VerejnyDetailOpisnehoFormularaKniznice/193482","0","0",
"OF-193490","Po karanténe","vata buničitá, vinutá","vata, vata vinutá, ošetrovanie rán","33140000-3 Zdravotnícky spotrebný materiál; 33141117-3 Vata; 60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar; Služba","","https://portal.eks.sk/SpravaKniznice/OpisneFormulareKniznice/VerejnyDetailOpisnehoFormularaKniznice/193490","0","0",
"OF-193534","Po karanténe","Počítač s príslušenstvom","počítač, monitor, klávesnica, myš","30213300-8 Stolový počítač; 30231000-7 Počítačové monitory a konzoly; 30237460-1 Počítačové klávesnice; 30237410-6 Počítačová myš; 48624000-8 Softvérový balík pre operačný systém osobného počítača (PC); 60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar; Služba","","https://portal.eks.sk/SpravaKniznice/OpisneFormulareKniznice/VerejnyDetailOpisnehoFormularaKniznice/193534","0","0",
"OF-193557","Po karanténe","Migrácia služieb v oblasti informačnej bezpečnosti na nové zariadenia","informačná bezpečnosť, webová a mailová brána,bezpečnostné technológie, bezpečnostné zariadenia","35113300-2 Bezpečnostné zariadenia; 32420000-3 Sieťové zariadenia; 32422000-7 Sieťové komponenty; 48000000-8 Softvérové balíky a informačné systémy; 71356300-1 Technická podpora; 60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar; Služba","","https://portal.eks.sk/SpravaKniznice/OpisneFormulareKniznice/VerejnyDetailOpisnehoFormularaKniznice/193557","0","0",
"OF-193559","Po karanténe","Obstaranie technológie - vybavenie zberného dvora - traktor","traktor","16700000-2 Traktory/ťahače; 60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar; Služba","","https://portal.eks.sk/SpravaKniznice/OpisneFormulareKniznice/VerejnyDetailOpisnehoFormularaKniznice/193559","0","0",
"OF-193578","Po karanténe","Interiérové vybavenie - kancelársky nábytok, sedací nábytok","kancelársky nábytok, stoly, skrinky, skrine, konferenčné stoly, stoličky, sedačky, kreslá","39130000-2 Kancelársky nábytok; 39100000-3 Nábytok; 39121100-7 Písacie stoly; 39141300-5 Skrine; 39121200-8 Stoly; 39120000-9 Stoly, skrine, písacie stoly a knižnice; 39112000-0 Stoličky; 39110000-6 Sedadlá, stoličky a podobné výrobky a súvisiace časti; 39113100-8 Kreslá; 39143310-2 Konferenčné stolíky; 45420000-7 Inštalovanie stolárskych a tesárskych výrobkov; 60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar; Služba","","https://portal.eks.sk/SpravaKniznice/OpisneFormulareKniznice/VerejnyDetailOpisnehoFormularaKniznice/193578","0","0",
"OF-193586","Po karanténe","IT zariadenie a príslušenstvo","príslušenstvo, počítač","30000000-9 Kancelárske a počítacie stroje, vybavenie a spotrebný materiál s výnimkou nábytku a softvérových balíkov; 30200000-1 Počítačové zariadenia a spotrebný materiál; 30230000-0 Zariadenia súvisiace s počítačmi; 60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar; Služba","","https://portal.eks.sk/SpravaKniznice/OpisneFormulareKniznice/VerejnyDetailOpisnehoFormularaKniznice/193586","0","0",
"OF-193593","Po karanténe","Membránová pumpa","Membránová pumpa","42910000-8 Destilačné, filtračné alebo rektifikačné prístroje; 38436200-2 Rotačné odparovače","Tovar; Služba","","https://portal.eks.sk/SpravaKniznice/OpisneFormulareKniznice/VerejnyDetailOpisnehoFormularaKniznice/193593","0","0",
"OF-193608","Po karanténe","Hygienické a čistiace prostriedky","pracie prostriedky, toaletný papier , mydlo, čistiace prostriedky, výrobky pre osobnú starostlivosť, platové výrobky, dezinfekčné výrobky","39800000-0 Čistiace a leštiace výrobky; 19520000-7 Plastové výrobky; 24455000-8 Dezinfekčné prostriedky; 33700000-7 Predmety osobnej starostlivosti; 39200000-4 Zariadenie interiéru; 39500000-7 Textilné výrobky; 60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar; Služba","","https://portal.eks.sk/SpravaKniznice/OpisneFormulareKniznice/VerejnyDetailOpisnehoFormularaKniznice/193608","0","0",
"OF-193615","Po karanténe","Aku skrutkovač","skrutkovač, aku","42652000-1 Ručné elektromechanické nástroje; 60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar","","https://portal.eks.sk/SpravaKniznice/OpisneFormulareKniznice/VerejnyDetailOpisnehoFormularaKniznice/193615","0","0",
"OF-193631","Po karanténe","Zber, odvoz, zhodnotenie a zneškodnenie nebezpečného a ostatného odpadu","Zber, odvoz, zhodnotenie a zneškodnenie nebezpečného a ostatného odpadu, nebezpečný odpad, ostatný odpad","90500000-2 Služby súvisiace s likvidáciou odpadu a odpadom; 90520000-8 Služby súvisiace s rádioaktívnym, toxickým, zdravotníckym a nebezpečným odpadom; 90513000-6 Služby na spracovanie a likvidáciu nie nebezpečného odpadu; 90512000-9 Služby na prepravu odpadu; 90511000-2 Služby na zber odpadu; 90510000-5 Likvidácia a spracovanie odpadu","Služba","","https://portal.eks.sk/SpravaKniznice/OpisneFormulareKniznice/VerejnyDetailOpisnehoFormularaKniznice/193631","0","0",
"OF-193641","Po karanténe","Servis a pozáručné opravy veľkokuchynských strojov a zariadení, vrátane dodávky a montáže náhradných dielov","Servis a pozáručné opravy veľkokuchynských strojov a zariadení, vrátane dodávky a montáže náhradných dielov","50883000-8 Opravy a údržba zariadenia pre verejné stravovanie; 60000000-8 Dopravné služby (bez prepravy odpadu)","Služba","","https://portal.eks.sk/SpravaKniznice/OpisneFormulareKniznice/VerejnyDetailOpisnehoFormularaKniznice/193641","0","0",
"OF-193651","Po karanténe","Prenájom a údržba bezpečnostných rohoží","Prenájom a údržba bezpečnostných rohoží","70331100-1 Služby pri správe zariadení (inštitúcií); 60000000-8 Dopravné služby (bez prepravy odpadu)","Služba","","https://portal.eks.sk/SpravaKniznice/OpisneFormulareKniznice/VerejnyDetailOpisnehoFormularaKniznice/193651","0","0",
"OF-193657","Po karanténe","Informačno-komunikačná technika","pc, notebook, ssd disk, pevný disk, grafická karta, monitor","30200000-1 Počítačové zariadenia a spotrebný materiál; 60000000-8 Dopravné služby (bez prepravy odpadu); 30237000-9 Časti a príslušenstvo počítačov a spotrebný materiál k nim; 30213100-6 Prenosné počítače","Tovar; Služba","","https://portal.eks.sk/SpravaKniznice/OpisneFormulareKniznice/VerejnyDetailOpisnehoFormularaKniznice/193657","0","0",
"OF-193660","Po karanténe","Kancelársky nábytok","nábytok, skriňa, písací stôl, stolička, kontajner, komoda","39100000-3 Nábytok; 60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar; Služba","","https://portal.eks.sk/SpravaKniznice/OpisneFormulareKniznice/VerejnyDetailOpisnehoFormularaKniznice/193660","0","0",
"OF-193663","Po karanténe","Kombinovaná chladnička s mrazničkou","chladnička, mraznička","39711110-3 Chladničky s mrazničkou; 60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar","","https://portal.eks.sk/SpravaKniznice/OpisneFormulareKniznice/VerejnyDetailOpisnehoFormularaKniznice/193663","0","0",
"OF-193664","Po karanténe","Zber, odvoz a likvidácia tuhého komunálneho odpadu","odpad, zber odpadu, odpadové hospodárstvo, odvoz odpadu, likvidácia tuhého odpadu, komunálny odpad","90511100-3 Zber tuhého komunálneho odpadu; 90513200-8 Likvidácia tuhého komunálneho odpadu; 90500000-2 Služby súvisiace s likvidáciou odpadu a odpadom; 60000000-8 Dopravné služby (bez prepravy odpadu)","Služba","","https://portal.eks.sk/SpravaKniznice/OpisneFormulareKniznice/VerejnyDetailOpisnehoFormularaKniznice/193664","0","0",
"OF-193668","Po karanténe","Sieťovanie partnerov","sieťovanie, partnerstvá, spolupráca","79000000-4 Podnikateľské služby: právo, marketing, konzultácie, nábor pracovníkov, tlačiarenské a bezpečnostné služby","Služba","","https://portal.eks.sk/SpravaKniznice/OpisneFormulareKniznice/VerejnyDetailOpisnehoFormularaKniznice/193668","0","0",
"OF-193670","Po karanténe","Železiarske výrobky a brúsiva "," drôt ","44333000-3 Drôty; 60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar; Služba","","https://portal.eks.sk/SpravaKniznice/OpisneFormulareKniznice/VerejnyDetailOpisnehoFormularaKniznice/193670","0","0",
"OF-193671","Po karanténe","Stravné poukážky","stravné poukážky, stravné lístky, zabezpečenie stravovania","30199770-8 Stravné poukážky; 60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar; Služba","","https://portal.eks.sk/SpravaKniznice/OpisneFormulareKniznice/VerejnyDetailOpisnehoFormularaKniznice/193671","0","0",
"OF-193672","Po karanténe","Elektrická kefa na kamenné povrchy a škáry","bojler","16120000-2 Brány, rozrývače, kultivátory, plečky alebo obrábače pôdy; 60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar; Služba","","https://portal.eks.sk/SpravaKniznice/OpisneFormulareKniznice/VerejnyDetailOpisnehoFormularaKniznice/193672","0","0",
"OF-193675","Po karanténe","Výpočtová technika","Tablet, tablet so SIM, kábel predlžovací, externý HDD, klávesnica, USB kábel","30213000-5 Osobné počítače; 30231000-7 Počítačové monitory a konzoly; 60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar; Služba","","https://portal.eks.sk/SpravaKniznice/OpisneFormulareKniznice/VerejnyDetailOpisnehoFormularaKniznice/193675","0","0",
"OF-193677","Po karanténe","invertorová zváračka TIG a zváracie zariadenie MIG/MAG s transformátorom","invertorová zváračka, zváracie zariadenie MIG/MAG s transformátorom","42662100-5 Elektrické zváracie zariadenia; 60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar; Služba","","https://portal.eks.sk/SpravaKniznice/OpisneFormulareKniznice/VerejnyDetailOpisnehoFormularaKniznice/193677","0","0",
"OF-193681","Po karanténe","Akumulátory","akumulátor, autobatéria ","31400000-0 Akumulátory, galvanické články a batérie; 31431000-6 Olovené akumulátory","Tovar","","https://portal.eks.sk/SpravaKniznice/OpisneFormulareKniznice/VerejnyDetailOpisnehoFormularaKniznice/193681","0","0",
"OF-193684","Po karanténe","Počítačové príslušenstvo","Flash USB kľúče, Micro SDXC pamäťová karta, Externý pevný disk, Externá DVD+/–RW mechanika  ","30200000-1 Počítačové zariadenia a spotrebný materiál; 60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar; Služba","","https://portal.eks.sk/SpravaKniznice/OpisneFormulareKniznice/VerejnyDetailOpisnehoFormularaKniznice/193684","0","0",
"OF-193686","Po karanténe","Pákové nožnice ","ručné náradie, pákové nožnice, strihanie ","43830000-0 Mechanické náradie; 60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar; Služba","","https://portal.eks.sk/SpravaKniznice/OpisneFormulareKniznice/VerejnyDetailOpisnehoFormularaKniznice/193686","0","0",
"OF-193689","Po karanténe","Drevené snehové koly","drevené snehové koly","34928210-3 Drevené stĺpiky; 34922000-6 Zariadenia na značkovanie vozoviek","Tovar","","https://portal.eks.sk/SpravaKniznice/OpisneFormulareKniznice/VerejnyDetailOpisnehoFormularaKniznice/193689","0","0",
"OF-193690","Po karanténe","Elektroinštalačný materiál","Páska izolačná, poistka trubičková, pákový spínač, chránič, bužírka zmršťovacia","31651000-4 Elektroizolačná páska; 31211300-1 Poistky; 31000000-6 Elektrické stroje, prístroje, zariadenia a spotrebný tovar; osvetlenie; 31681410-0 Elektromateriály; 60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar; Služba","","https://portal.eks.sk/SpravaKniznice/OpisneFormulareKniznice/VerejnyDetailOpisnehoFormularaKniznice/193690","0","0",
"OF-193693","Po karanténe","Pracovné odevy a obuv, OOPP, spodné prádlo","pracovný odev, pracovná obuv, spodné prádlo, OOPP, nohavice, tričko, zástera, košeľa, gumené čižmy, rukavice, okuliare, chránič sluchu, respirátor, nákolenník, čiapka, zváračská kukla, ochranný štít, plášť, podprsenka, nohavičky","35113400-3 Ochranné a bezpečnostné odevy; 18300000-2 Odevy; 18000000-9 Odevy, obuv, brašnárske výrobky a príslušenstvo; 18110000-3 Pracovné odevy; 18100000-0 Pracovné odevy, špeciálne pracovné odevy a doplnky; 18830000-6 Ochranná obuv; 18800000-7 Obuv","Tovar; Služba","","https://portal.eks.sk/SpravaKniznice/OpisneFormulareKniznice/VerejnyDetailOpisnehoFormularaKniznice/193693","0","0",
"OF-193695","Po karanténe","Fototechnika a príslušenstvo","Fototechnika, objektív","38651600-9 Digitálne fotoaparáty; 38651000-3 Fotografické prístroje; 38651100-4 Objektívy do fotografických prístrojov; 60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar; Služba","","https://portal.eks.sk/SpravaKniznice/OpisneFormulareKniznice/VerejnyDetailOpisnehoFormularaKniznice/193695","0","0",
"OF-193698","Po karanténe","Zabezpečenie stravných poukážok","Stravné lístky, stravné poukážky, dodanie stravných lístkov, zabezpečenie stravovania","30199770-8 Stravné poukážky; 60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar; Služba","","https://portal.eks.sk/SpravaKniznice/OpisneFormulareKniznice/VerejnyDetailOpisnehoFormularaKniznice/193698","0","0",
"OF-193699","Po karanténe","Chladnička s mrazničkou","chladnička, mraznička","39700000-9 Spotrebiče pre domácnosť; 60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar; Služba","","https://portal.eks.sk/SpravaKniznice/OpisneFormulareKniznice/VerejnyDetailOpisnehoFormularaKniznice/193699","0","0",
"OF-193700","Po karanténe","Originálne tonery","Originálne tonery, náplne do tlačiarní, náplne do kopírovacích strojov","30125100-2 Tonerové náplne; 30125110-5 Toner do laserových tlačiarní/faxových prístrojov; 30125120-8 Toner do fotokopírovacích strojov; 60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar; Služba","","https://portal.eks.sk/SpravaKniznice/OpisneFormulareKniznice/VerejnyDetailOpisnehoFormularaKniznice/193700","0","0",
