"OpisnyFormularIdentifikator","OpisnyFormularStav","OpisnyFormularNazov","OpisnyFormularKlucoveSlova","OpisnyFormularCpv","OpisnyFormularDruh","OpisnyFormularKategoriaSluzieb","OpisnyFormularUrl","OpisnyFormularPocetVyhlasenychZakaziek","OpisnyFormularObchodovanaSumaBezDPH",
"OF-252097","Po karanténe","Podpora interného kontaktného centra","Zákaznícka podpora","64210000-1 Telefónne služby a prenos údajov; 60000000-8 Dopravné služby (bez prepravy odpadu)","Služba","","https://portal.eks.sk/SpravaKniznice/OpisneFormulareKniznice/VerejnyDetailOpisnehoFormularaKniznice/252097","0","0",
"OF-254260","Po karanténe","Vybavenie posilňovní","Posilňovacie koliesko, činky, švihadlá, závažie, lavica, balančná podložka, posilňovacie lano, hriadeľ","37410000-5 Výbava pre športy vo voľnej prírode alebo na ihrisku; 37442400-8 Lavice alebo stojany na závažia; 37421000-5 Žinenky do telocviční; 37442100-8 Jednoručné činky; 37441500-6 Švihadlá; 37442200-8 Obojručné činky; 60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar; Služba","","https://portal.eks.sk/SpravaKniznice/OpisneFormulareKniznice/VerejnyDetailOpisnehoFormularaKniznice/254260","1","0",
"OF-254553","Po karanténe","Očkovacia látka proti týfusu","očkovacia látka, vakcína, týfus","33651600-4 Očkovacie látky; 60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar; Služba","","https://portal.eks.sk/SpravaKniznice/OpisneFormulareKniznice/VerejnyDetailOpisnehoFormularaKniznice/254553","0","0",
"OF-254599","Po karanténe","Očkovacia látka proti hepatitíde A a hepatitíde B","očkovacia látka, hepatitída, vakcína,","33651600-4 Očkovacie látky; 60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar; Služba","","https://portal.eks.sk/SpravaKniznice/OpisneFormulareKniznice/VerejnyDetailOpisnehoFormularaKniznice/254599","0","0",
"OF-254600","Po karanténe","Očkovacia látka proti žltej zimnici ","očkovacia látka, žltá zimnica, vakcína,","33651600-4 Očkovacie látky; 60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar; Služba","","https://portal.eks.sk/SpravaKniznice/OpisneFormulareKniznice/VerejnyDetailOpisnehoFormularaKniznice/254600","0","0",
"OF-254601","Po karanténe","Očkovacia látka proti meningokom ","očkovacie látky, meningitída, vakcína,","33651600-4 Očkovacie látky; 60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar; Služba","","https://portal.eks.sk/SpravaKniznice/OpisneFormulareKniznice/VerejnyDetailOpisnehoFormularaKniznice/254601","0","0",
"OF-254602","Po karanténe","Očkovacia látka proti meningitíde séroskupiny B","Očkovacia látka, meningitída","33651600-4 Očkovacie látky; 60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar; Služba","","https://portal.eks.sk/SpravaKniznice/OpisneFormulareKniznice/VerejnyDetailOpisnehoFormularaKniznice/254602","0","0",
"OF-254655","Po karanténe","Očkovacia látka na prevenciu proti besnote","očkovacia látka, besnota, vírus, infekcia,","33651600-4 Očkovacie látky; 60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar; Služba","","https://portal.eks.sk/SpravaKniznice/OpisneFormulareKniznice/VerejnyDetailOpisnehoFormularaKniznice/254655","0","0",
"OF-254820","Po karanténe","Dodávka termostatických hlavíc a ventilov ","termostatické hlavice, termostatické ventily","42131110-0 Ventily radiátorov ústredného kúrenia; 44621112-7 Časti radiátorov ústredného kúrenia; 60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar; Služba","","https://portal.eks.sk/SpravaKniznice/OpisneFormulareKniznice/VerejnyDetailOpisnehoFormularaKniznice/254820","1","0",
"OF-254871","Po karanténe","Batérie, monočlánky","batérie, monočlánky","31440000-2 Batérie; 31411000-0 Alkalické batérie; 60000000-8 Dopravné služby (bez prepravy odpadu)","Tovar; Služba","","https://portal.eks.sk/SpravaKniznice/OpisneFormulareKniznice/VerejnyDetailOpisnehoFormularaKniznice/254871","1","0",
